ivmeX,ivmeY,ivmeZ,tmp,GyroX,GyroY,GyroZ,A0,A1,A2,ivmeX2,ivmeY2,ivmeZ2,tmp2,GyroX2,GyroY2,GyroZ2,A02,A12,A22
4084,-9112,12244,29.80,-1105,-274,930,0,652,892,-4028,4928,14852,28.67,167,-127,-111,892,822,625
4732,-9488,11876,29.61,1306,1241,-363,0,678,918,-3952,5140,14592,28.72,494,-197,82,895,813,592
3396,-8596,13020,29.57,324,1293,249,0,742,913,-4204,3552,15472,28.77,388,706,-97,900,811,571
3200,-8440,13312,29.71,-2695,-628,-939,0,747,894,-3784,5156,14912,28.62,-758,207,-55,900,817,577
1932,-6864,12340,29.57,4129,-1865,338,0,622,565,-4072,4988,14780,28.77,82,193,98,899,824,604
5708,-3260,10864,29.66,-4642,4003,2014,0,616,433,-3996,4748,14604,28.77,-843,34,-344,899,826,616
2552,-9004,13172,29.61,603,861,356,0,746,691,-3956,5496,14516,28.72,284,-85,-100,900,831,625
2856,-8432,13068,29.66,157,388,144,0,789,852,-3688,3620,14452,28.77,308,-35,-112,899,834,627
2700,-8552,12980,29.75,-226,657,311,0,806,899,-4112,4508,14744,28.81,-849,12,-99,901,834,631
2560,-8660,13060,29.71,-246,516,263,0,819,917,-4392,3832,15204,28.67,323,327,743,904,833,628
2448,-8760,12988,29.71,-137,304,250,1,817,931,-2996,3444,14612,28.72,171,-267,-765,906,823,616
2392,-8744,13012,29.71,-65,235,178,0,833,938,-3792,3908,14752,28.77,-579,84,86,906,825,619
2236,-8804,13008,29.66,-400,268,125,0,840,940,-3968,3980,14724,28.81,354,-186,-397,907,832,623
2192,-8920,12860,29.66,-434,264,60,0,847,947,-3752,4380,14840,28.67,2161,-141,766,907,833,632
2016,-8656,13132,29.71,-255,41,-106,0,855,950,-3892,4768,14564,28.81,-394,-80,-67,904,832,636
2032,-8740,12980,29.75,-275,-96,-214,0,860,956,-4296,5360,14588,28.77,692,-30,70,903,833,641
2124,-8924,12984,29.71,-213,79,-127,0,860,959,-4164,4060,14928,28.81,-1099,194,-852,901,836,646
1772,-8676,12760,29.71,-305,197,-17,0,848,957,-3940,4112,14780,28.67,-3474,1153,-3638,901,840,645
1884,-8508,13112,29.75,-270,240,131,0,847,951,-4776,6260,15656,28.72,193,4577,-4392,901,842,647
1748,-8848,13084,29.75,-266,44,-73,3,839,947,-800,9920,13780,28.72,3734,45,-754,902,840,639
2156,-8840,13132,29.80,-275,-190,-421,0,841,951,-1200,9324,11400,28.72,8715,1282,-1000,903,839,638
2056,-8916,13068,29.57,74,-187,-77,0,842,951,-14220,3892,14872,28.67,8097,2812,267,904,839,628
2116,-8972,12920,29.71,-412,-404,-219,0,841,958,-7732,7096,7912,28.77,8947,-1133,-474,902,839,626
1556,-8804,12836,29.61,-216,-186,134,4,832,958,-7360,3084,14168,28.77,11607,700,-2256,902,840,628
1868,-8656,13092,29.61,-146,-126,37,0,830,959,-3936,9492,6740,28.72,18050,-5410,-4895,901,840,635
1776,-9040,12868,29.66,-134,-143,-302,0,836,959,-6184,12064,6180,28.77,13662,-2323,-6696,901,841,635
1508,-8444,13096,29.71,83,664,272,0,840,958,-7508,7032,6764,28.81,4318,-1285,-4511,899,841,650
2340,-8956,13088,29.61,-19,249,-164,0,841,959,-10328,9980,6488,28.81,7439,-1438,-3544,897,842,650
2036,-8524,13316,29.66,-57,529,166,0,840,959,-9544,11408,1588,28.72,2380,-4496,-203,893,841,647
1964,-8800,13108,29.71,-281,-149,-485,0,841,961,-10600,13372,1428,28.72,4380,-3223,-351,893,842,655
1728,-8560,13096,29.61,-660,-99,82,0,843,954,-9972,9756,3228,28.77,12710,-12005,-5469,891,840,654
1436,-8396,13148,29.66,-498,-39,-115,0,838,952,-11928,12152,6908,28.77,3858,-8310,-3329,893,840,653
1776,-8888,12968,29.61,-282,-555,-145,0,837,953,-9988,9544,1848,28.72,1403,-2424,1080,893,842,656
1504,-9072,12904,29.61,-526,23,254,0,835,957,-8144,14896,-2272,28.72,-328,573,3224,892,841,661
1808,-8984,13016,29.66,-298,-57,-431,0,832,958,-9268,15320,-7000,28.77,-4016,2384,4975,895,842,661
1704,-8896,13092,29.71,-263,176,-310,0,826,957,-32768,32767,11908,28.72,-12415,-32768,32767,897,839,656
1788,-8956,12856,29.66,-360,213,-184,1,825,953,-5160,15944,-852,28.72,-9331,-19900,-10233,898,832,640
1564,-8864,13108,29.71,52,539,125,0,825,951,-2736,14804,9304,28.77,-5113,10101,3339,899,820,617
1536,20991,22272,29.71,18,88,-113,0,825,945,-6672,10328,10464,28.77,-5452,208,-1644,899,814,614
-6401,14847,-12032,29.66,-297,-212,-16,0,827,938,-5388,9652,10040,28.72,-7508,-4732,-7537,900,808,610
1188,-8540,13088,29.66,-40,13,-299,0,830,937,-6400,9272,10088,28.72,-1096,5860,-5287,900,813,631
1212,-8676,12956,29.71,-117,89,-148,0,830,938,-8632,7344,11088,28.67,1821,505,-5747,900,811,636
1468,-8788,13080,29.66,105,-160,385,0,832,940,-9296,7264,9980,28.67,1028,5493,-2509,901,797,619
1056,-8968,13224,29.66,408,-663,-431,0,828,940,-10696,7704,9408,28.67,-661,-1100,-3751,900,799,600
1508,-8484,13020,29.61,263,-652,115,0,829,944,-10520,7384,9512,28.67,-1114,-2298,-2875,901,781,582
1824,-8852,13408,29.71,908,-1838,-1267,0,831,946,-10428,6092,9560,28.67,434,-2547,-2577,902,777,571
3048,-8852,14456,29.75,708,-2912,82,0,831,946,-9716,6180,10212,28.67,88,675,-1446,903,755,542
2592,-7896,14108,29.71,970,-3121,-477,0,832,945,-10096,5796,10324,28.67,-376,1352,-1470,907,757,534
3672,-10604,10516,29.61,2002,-2264,2220,0,835,943,-10668,4836,9240,28.67,-910,392,-2283,905,763,541
-2352,-2264,2220,29.61,-2352,-2264,2220,0,838,944,-11364,4332,9516,28.67,-1613,-1285,-3222,906,754,539
5288,-6948,13144,29.71,33,-5635,2409,0,838,945,-10820,4308,10628,28.77,-1104,-1191,-4709,905,741,503
5320,-9752,12680,29.61,-1497,-4587,2963,0,839,944,-11348,3148,10440,28.72,-886,-757,-4393,905,730,382
5980,-7008,9932,29.66,2398,-8251,3002,0,841,943,-11424,876,9560,28.62,440,634,-4055,902,716,381
4200,-10916,12564,29.66,-1129,-8766,1082,0,840,942,-12588,836,9308,28.67,535,1786,-5243,900,705,370
10020,-13900,7652,29.57,4263,-15377,490,1,841,943,-12760,576,9548,28.67,-370,3349,-5610,902,708,366
-2368,-15377,490,29.57,-2368,-15377,490,0,840,945,-11364,-1600,8184,28.72,-876,3274,-4144,898,716,391
-2368,-15377,490,29.57,-2368,-15377,490,0,841,946,-12912,-4624,7368,28.72,-2079,4493,-4648,889,724,410
-2368,-15377,490,29.57,-2368,-15377,490,0,836,947,-13160,-784,6872,28.67,-1233,1718,-1449,889,727,426
-2368,-15377,490,29.57,-2368,-15377,490,0,834,946,-14416,-248,8388,28.58,-1151,-2325,-450,887,686,399
-2368,-15377,490,29.57,-2368,-15377,490,0,825,948,-13056,-1992,7968,28.62,-1779,-3455,-85,884,676,386
9252,-8616,10088,29.71,-1479,1009,-1389,4,827,948,-12852,-3680,8576,28.62,-2395,-2413,-778,872,643,289
8824,-9256,9948,29.57,-705,672,-1624,0,824,948,-12564,-3436,8860,28.72,-1075,-2093,-643,860,526,203
9324,-8884,10256,29.66,-271,-189,-966,0,826,947,-12184,-3300,9604,28.62,-2268,-3227,-538,841,445,138
9412,-8712,10132,29.71,233,-66,-379,0,828,948,-11252,-4360,9988,28.62,-3094,-5994,-119,829,424,151
9512,-8788,10188,29.61,1283,-756,57,0,832,943,-10348,-3332,11996,28.72,-2639,-4288,-598,834,443,163
7924,-12940,11844,29.66,-994,-1324,-2169,0,833,941,-10168,-4852,10772,28.58,235,-2633,2128,832,451,168
8976,-7448,11032,29.71,560,-235,717,0,834,939,-9380,-3608,12636,28.58,101,-1415,3370,827,437,183
