ivmeX,ivmeY,ivmeZ,tmp,GyroX,GyroY,GyroZ,A0,A1,A2,ivmeX2,ivmeY2,ivmeZ2,tmp2,GyroX2,GyroY2,GyroZ2,A02,A12,A22
-4520,-11224,10944,26.60,-1468,2298,2332,0,860,859,-4844,-5516,20408,25.09,-12070,-14671,5878,339,542,317
-7004,-10680,8688,26.65,-1809,1281,1765,0,838,805,-684,2088,16876,25.14,-1153,-1399,769,915,730,650
-8136,-12408,15220,26.69,-17004,3042,-7287,0,717,770,-460,5768,15744,25.19,461,-88,-374,935,794,698
-3640,-12220,3588,26.69,305,-5490,-6210,0,324,483,-768,4824,15296,25.24,-2668,4179,-800,935,801,656
-56,-9404,1880,26.60,7502,4940,10855,0,284,376,-652,2612,15844,25.19,-406,-1669,-348,928,787,628
-8316,-13580,12520,26.69,13834,-5084,-1610,0,579,633,-3988,3552,18336,25.28,8741,5486,-1638,474,662,653
-7092,-10840,7956,26.69,1371,-2415,-2447,1,769,866,-1812,9332,9512,25.19,1031,-3963,6486,345,352,55
-3928,-11584,11144,26.74,-284,26,260,0,849,924,-3272,32120,32767,25.19,-10156,-14572,-1385,351,394,172
-5452,-10516,10400,26.69,-2969,1266,2408,0,834,921,16388,-5500,16772,25.24,-3193,3129,-1508,846,685,634
-9348,-10400,12928,26.65,-7686,-1314,-3370,0,700,893,-1772,4496,15696,25.28,-434,417,174,922,765,724
-1852,-16872,-2232,26.65,-15386,-8742,-2486,0,446,800,-1372,4500,15348,25.24,-615,2251,-822,931,793,742
-3784,-8192,-2140,26.60,4240,2062,4641,0,275,467,-1856,4092,15736,25.14,-2561,2445,-204,932,770,701
-10404,-8216,13376,26.69,17532,4617,3157,0,255,758,-1724,3772,16608,25.14,2343,-1385,-784,885,755,706
-7112,-11456,7876,26.69,-570,246,1438,0,600,880,-3600,3632,17600,25.33,15835,19680,-3170,374,547,627
-6776,-11128,9540,26.69,-134,-81,226,0,700,921,-3720,7252,5248,25.19,-1126,-8958,8295,331,378,67
-5920,-10764,9196,26.65,-1312,440,1528,0,678,905,-5884,1468,19948,25.28,-15872,-16596,7911,318,474,341
-9272,-9848,10744,26.69,-3650,-294,-5112,0,509,853,-4456,2768,14132,25.14,-2138,-328,462,872,715,716
-2976,-12836,-216,26.69,-14740,-6921,-5490,0,398,612,-1020,4868,15860,25.28,-372,486,-353,929,788,743
-2208,-10680,168,26.65,4930,636,1672,0,262,455,-1512,4864,15276,25.19,-788,1188,-666,931,802,750
-7852,-12556,9828,26.69,17635,3386,3999,0,248,633,-1532,4300,15624,25.14,1226,-1574,324,914,800,756
-9384,-9856,7648,26.69,2597,-1820,-549,0,532,822,512,6396,19152,25.24,13123,14740,-5472,445,623,758
-4400,-11596,11036,26.65,-383,386,708,0,681,928,-5760,8484,10064,25.19,-2216,-4175,5720,379,386,92
-5268,-9788,9552,26.65,-1609,761,1735,0,643,900,-5312,30712,32767,25.19,-11203,-17856,2251,354,360,266
-9616,-9340,11524,26.74,-3660,-1651,-2795,0,568,867,9420,-1940,14860,25.24,-1353,5368,-570,843,592,696
-4252,-14252,4684,26.69,-15341,-3634,-7456,0,475,646,-284,5732,15796,25.24,1291,-1776,307,925,671,782
488,-12396,2540,26.65,5744,788,-496,0,344,478,-560,5392,15332,25.24,-1411,3145,-1165,933,704,807
-8828,-16928,6380,26.65,12646,565,5447,0,331,456,-1536,4768,15192,25.24,-1239,729,97,932,705,772
-2776,-11712,10120,26.79,936,-939,-498,0,602,788,-996,6536,19948,25.19,11695,6110,-2917,526,596,800
-5364,-10996,10692,26.69,0,115,661,0,726,884,-4348,4888,7992,25.14,145,-509,-486,369,351,144
-5616,-11068,9292,26.74,-1777,847,1752,0,683,866,-3992,604,6192,25.19,-5722,-3963,-8561,345,375,39
-9964,-8592,10732,26.74,-3511,271,-1110,1,617,786,1468,6440,26444,25.24,-2303,-3250,-179,805,531,659
-5756,-14512,10184,26.69,-15479,-2853,-7473,0,478,562,-300,6256,15532,25.24,2279,-2583,295,902,634,776
-1800,-8336,4040,26.74,3688,-1536,-1868,0,333,355,-808,5872,16260,25.24,-409,1919,-1004,924,692,802
872,-15492,7060,26.79,15268,535,3832,0,328,295,-968,4756,15280,25.19,-2178,1948,-177,927,684,760
-4144,-12524,8928,26.79,-266,-634,-308,0,578,637,-148,4124,16364,25.28,1916,-187,-654,888,662,762
-5684,-11892,9100,26.79,1413,-1552,-1462,0,727,855,-3652,7676,15572,25.24,9881,13519,-441,364,455,375
-5720,-10544,9884,26.74,-2761,1335,2708,0,748,873,-3600,6280,8496,25.19,-3939,-4451,-698,343,390,53
-6364,-10704,9572,26.79,-537,370,294,0,665,798,-9724,-6856,19396,25.24,-8758,-12367,-447,324,483,401
-8084,-12772,12556,26.79,-15783,2754,-8536,0,503,817,-1420,9284,13940,25.19,610,-259,-90,873,709,685
-1904,-15400,496,26.74,-9748,-5948,-4923,0,467,480,-1096,4380,15768,25.14,-580,-216,-88,927,794,735
-3808,-7868,1144,26.79,5751,3931,8779,0,284,360,-1364,5220,15560,25.28,-1017,1695,-905,931,808,749
-10588,-8520,13828,26.69,19477,2437,4288,0,358,443,-1304,3332,15724,25.28,-1244,297,-222,932,797,735
-6804,-11044,7076,26.79,183,-10,2399,0,680,692,-1360,4500,17256,25.33,5778,2743,-529,722,739,748
-6380,-10496,10448,26.74,560,-334,266,0,740,770,-7552,10152,14912,25.33,1029,8500,2138,378,449,256
-6204,-10856,9468,26.84,-2532,937,1993,0,771,801,-5336,-216,5144,25.28,-1024,745,-4873,359,412,43
-8436,-9804,9952,26.88,-1624,560,-33,0,733,752,-460,-884,17816,25.24,-3619,-12452,6094,341,503,646
-7896,-14084,10420,26.74,-20551,-421,-9631,0,438,672,-1248,3316,16032,25.24,-45,-1760,391,909,689,735
-2196,-10832,308,26.74,4914,-3231,-5340,0,348,403,-108,6176,15648,25.38,-429,621,-603,934,757,767
2128,-12436,14700,26.74,22407,9850,1787,1,291,414,-1484,3980,15572,25.24,-2188,1652,-115,935,729,730
-7052,-7160,14000,26.84,1178,-2069,450,0,631,824,-1232,-1528,17716,25.33,5104,-74,-2133,825,645,704
-3884,-11364,10568,26.84,1747,-1569,-1063,0,756,913,-4536,8444,14200,25.33,4649,8058,-431,361,450,251
-4676,-11416,10428,26.79,-1396,1144,1555,0,815,944,-5616,3420,9116,25.24,-6502,-5792,-610,335,392,62
-5388,-11180,9744,26.74,-1030,941,634,4,791,928,-2220,4496,18024,25.24,-4065,-14517,4332,410,382,582
-6344,-13156,12316,26.79,-12540,-948,-7052,0,536,832,-1968,2880,15348,25.14,-227,-554,645,900,556,672
-4312,-12680,3728,26.84,1254,-3920,-4412,0,446,495,-452,4928,15568,25.24,1257,-779,-268,925,621,727
-2788,-9592,1356,26.79,1116,1808,8769,0,278,349,-1024,4940,15264,25.19,-1624,3057,-1152,928,649,743
-7876,-14520,11324,26.79,11392,-1685,420,0,561,778,-1584,2904,15520,25.28,-277,-1306,215,922,649,750
-5492,-11244,9280,26.84,909,-1013,-1468,0,765,923,-2500,6876,17296,25.28,6711,6482,-2233,506,531,764
-4736,-11536,10220,26.79,-897,955,1237,0,812,955,-6208,6060,12264,25.28,-300,374,74,350,381,279
-5764,-10900,9648,26.88,-531,409,1133,0,796,944,-4112,488,5864,25.33,-461,3839,-7960,333,337,154
-7664,-12180,12812,26.88,-11622,787,-3559,0,610,916,2404,5556,24288,25.33,-3782,-1792,-315,728,371,726
-3128,-17148,-656,26.84,-11774,-6036,-4165,0,432,570,-364,4072,15536,25.33,2334,-2204,316,867,489,816
-1584,-7416,2360,26.88,4914,1105,-827,0,276,444,-632,5968,15332,25.28,94,1027,-785,889,573,825
-20728,-24488,-128,26.79,20221,4986,9219,0,262,582,-884,5052,15052,25.33,-2072,1085,304,893,562,807
-4424,-10652,11176,26.79,-490,82,1886,0,554,867,-204,2156,17404,25.24,5041,1582,-2366,712,435,813
-5652,-11508,9740,26.79,-250,-429,-148,0,668,912,-2784,7400,14052,25.24,4859,10293,-727,370,382,477
-5748,-10824,9440,26.79,-1370,751,1489,0,684,912,-5272,5192,9692,25.33,-4205,-5902,-1599,350,399,51
-7092,-10444,10360,26.88,-942,-675,-2046,0,627,899,-3772,1088,18756,25.33,-10509,-11835,2897,306,361,591
-6124,-13436,14568,26.84,-27753,-3897,-11397,0,457,885,-2104,7668,14724,25.19,1859,-3609,761,762,406,793
-1932,-12928,-1812,26.84,2450,-2817,-3948,0,355,510,-228,5748,15968,25.38,401,-360,-177,837,491,829
-7732,-23608,12004,26.79,12750,3356,7189,0,256,322,-636,5636,15204,25.33,-2772,3686,-832,844,531,835
-2076,-11424,15624,26.84,7384,-2044,2227,0,462,838,-536,3412,15528,25.33,-1185,-582,3,831,518,824
-8220,-10236,9592,26.79,829,-1019,-132,0,656,862,-156,6832,17268,25.33,8576,9358,-1095,352,361,789
-5540,-11488,10048,26.93,-605,544,695,0,722,920,-2496,7228,10940,25.24,-2432,-3113,4238,314,393,133
-6128,-10720,9348,26.93,-685,537,987,2,693,897,640,29300,18444,25.28,-7196,-13014,2648,270,351,522
